"","parameterset_00000001","parameterset_00000002","parameterset_00000003","parameterset_00000004","parameterset_00000005","parameterset_00000006","parameterset_00000008","parameterset_00000009","parameterset_00000010","parameterset_00000011","parameterset_00000012","parameterset_00000013","parameterset_00000014","parameterset_00000015","parameterset_00000016","parameterset_00000017","parameterset_00000019","parameterset_00000020","parameterset_00000021","parameterset_00000022","parameterset_00000023","parameterset_00000024","parameterset_00000025","parameterset_00000026","parameterset_00000027","parameterset_00000028","parameterset_00000030","parameterset_00000031","parameterset_00000032","parameterset_00000033","parameterset_00000034","parameterset_00000035","parameterset_00000036","parameterset_00000037","parameterset_00000038","parameterset_00000039","parameterset_00000041","parameterset_00000042","parameterset_00000043","parameterset_00000044","parameterset_00000045","parameterset_00000046","parameterset_00000047","parameterset_00000048","parameterset_00000049","parameterset_00000050","parameterset_00000052","parameterset_00000053","parameterset_00000054","parameterset_00000055","parameterset_00000056","parameterset_00000057","parameterset_00000058","parameterset_00000059","parameterset_00000060","parameterset_00000061","parameterset_00000063","parameterset_00000064","parameterset_00000065","parameterset_00000066"
"1",2,3,"1","1","1","1",1,1,1,1,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,0,1,0,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1
"2",2,3,"2","2","2","2",0,0,0,0,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","1","1",1,1,1,1
"3",2,3,"1","1","3","3",0,0,2,0,1,3,"1","1","3","3",1,1,1,1,2,3,"1","1","2","2",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",0,0,1,1
"4",2,3,"1","1","1","1",1,1,1,1,1,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","1","1",1,0,1,0,1,3,"1","1","2","2",1,1,1,1,2,2,"1","2","3","3",2,2,2,2
"5",2,2,"1","3","4","4",0,0,3,0,2,2,"1","2","4","4",2,2,2,2,2,2,"1","2","4","4",3,3,2,2,2,2,"1","1","3","3",3,2,3,2,2,2,"1","2","3","3",2,2,2,2,2,2,"1","2","4","4",2,2,2,2
"6",2,3,"1","1","1","1",1,1,1,1,1,3,"1","1","5","5",0,0,0,0,2,3,"1","1","3","3",1,1,1,1,2,3,"1","2","4","4",0,0,0,0,1,3,"1","1","4","4",0,0,0,0,2,2,"1","2","5","5",0,0,2,2
"7",2,3,"1","1","3","3",0,0,2,0,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","5","5",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1
"8",2,3,"2","4","5","5",0,0,4,2,1,3,"1","1","3","3",1,1,1,1,2,2,"1","2","4","4",3,3,2,2,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,2,"1","2","4","4",2,2,2,2
"9",2,3,"1","1","6","6",0,0,0,0,1,3,"1","1","6","6",0,0,0,0,2,3,"1","1","6","6",2,2,1,1,2,3,"1","2","5","5",0,0,2,1,1,3,"1","1","5","5",0,0,1,1,2,2,"1","2","6","6",2,2,2,2
"10",2,3,"2","4","5","5",2,2,4,2,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,2,"1","2","6","6",2,2,2,2
"11",2,2,"1","3","7","7",0,0,0,0,2,2,"1","2","4","4",2,2,2,2,2,2,"1","2","4","4",3,3,2,2,2,2,"1","1","3","3",3,2,3,2,2,2,"1","2","3","3",2,2,2,2,2,2,"1","2","4","4",2,2,2,2
"12",2,3,"2","4","5","5",2,2,4,2,1,3,"1","1","3","3",1,1,1,1,2,2,"1","2","4","4",3,3,2,2,2,2,"1","1","3","3",3,2,3,2,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","1","1",1,1,1,1
"13",2,3,"2","4","5","5",2,2,4,2,1,3,"1","1","3","3",1,1,1,1,2,2,"1","2","4","4",3,3,2,2,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","1","1",1,1,1,1
"14",2,3,"2","4","5","5",2,2,4,2,1,3,"1","1","3","3",1,1,1,1,2,2,"1","2","4","4",3,3,2,2,2,2,"1","1","3","3",3,2,3,2,1,3,"1","1","2","2",1,1,1,1,2,2,"1","2","4","4",2,2,2,2
"15",2,2,"1","3","4","4",0,0,3,0,2,2,"1","2","7","7",2,2,2,2,2,2,"1","2","7","7",3,3,2,2,2,2,"1","1","3","3",3,2,3,2,2,2,"1","2","6","6",2,2,2,2,2,2,"1","2","3","3",2,2,2,2
"16",1,1,"2","4","8","8",0,0,5,3,1,1,"2","3","8","8",3,0,3,3,1,1,"2","3","8","8",4,4,3,3,1,1,"2","3","6","6",4,3,4,3,1,1,"2","3","7","7",3,0,3,3,1,1,"2","3","7","7",3,0,3,5
"17",1,1,"2","2","2","2",3,0,6,0,1,1,"1","1","9","9",4,3,4,4,1,1,"2","4","9","9",4,4,3,3,1,1,"2","3","7","7",4,3,4,3,1,1,"1","1","8","8",4,3,4,4,1,1,"2","3","8","8",4,0,4,0
"18",1,1,"3","5","9","9",0,0,0,0,2,2,"3","4","10","10",0,0,0,0,1,1,"3","5","10","10",5,5,4,4,1,1,"3","4","8","8",0,0,0,0,2,2,"3","4","9","9",0,0,0,0,1,1,"3","4","9","9",5,0,5,3
"19",1,1,"3","5","10","10",0,0,0,0,1,1,"2","5","11","11",0,0,0,0,1,1,"2","4","11","11",0,0,0,0,1,1,"2","5","9","9",0,0,0,0,1,1,"2","5","10","10",0,0,0,0,1,1,"2","3","10","10",0,0,3,5
"20",1,2,"1","3","7","7",4,0,7,0,2,2,"1","2","12","12",5,0,5,0,1,1,"3","5","10","10",5,5,4,4,1,1,"3","4","10","10",0,0,0,0,2,2,"1","2","11","11",5,0,5,0,1,1,"3","4","11","11",0,0,0,0
"21",1,1,"2","4","11","11",0,0,0,0,1,1,"1","1","13","13",6,4,6,5,1,1,"2","3","8","8",4,4,3,3,1,1,"2","3","11","11",0,0,5,4,1,1,"1","1","12","12",6,4,6,5,1,1,"2","3","12","12",6,3,6,4
"22",1,2,"1","3","7","7",4,0,7,0,2,2,"1","2","12","12",5,0,5,0,1,1,"3","5","10","10",5,5,4,4,2,2,"1","1","3","3",0,0,0,0,2,2,"1","2","11","11",5,0,5,0,1,1,"3","4","9","9",5,0,5,3
"23",1,1,"2","2","12","12",5,0,8,0,1,1,"1","1","13","13",6,4,6,5,1,1,"2","3","12","12",4,4,3,3,1,1,"2","3","12","12",5,0,5,4,1,1,"1","1","12","12",6,4,6,5,1,1,"2","3","12","12",6,3,6,4
"24",1,1,"3","5","13","13",0,0,0,0,2,2,"3","4","14","14",0,0,0,0,1,1,"3","5","13","13",0,0,0,0,1,1,"3","4","13","13",0,0,0,0,2,2,"3","4","13","13",0,0,0,0,1,1,"3","5","13","13",7,0,5,3
"25",1,1,"2","4","5","5",6,0,5,3,1,1,"1","1","9","9",4,3,4,4,1,1,"2","3","8","8",4,4,3,3,1,1,"2","3","14","14",6,0,4,3,1,1,"1","1","8","8",4,3,4,4,1,1,"2","3","7","7",3,0,3,5
"26",1,1,"2","4","5","5",6,0,5,3,1,1,"1","1","9","9",4,3,4,4,1,1,"2","4","14","14",4,4,3,3,1,1,"2","3","14","14",6,0,4,3,1,1,"1","1","8","8",4,3,4,4,1,1,"2","3","12","12",6,3,6,4
"27",1,1,"2","2","2","2",3,0,6,0,1,1,"2","3","8","8",3,0,3,3,1,1,"2","3","15","15",4,4,3,3,1,1,"2","3","6","6",4,3,4,3,1,1,"2","3","14","14",3,0,3,3,1,1,"2","3","8","8",4,0,4,0
"28",1,1,"3","5","14","14",0,0,0,0,1,1,"2","3","15","15",7,0,3,3,1,1,"2","4","14","14",4,4,3,3,1,1,"2","5","15","15",7,0,4,3,1,1,"2","3","15","15",7,0,3,3,1,1,"3","5","14","14",7,0,5,3
"29",1,1,"2","2","12","12",5,0,8,0,1,1,"1","1","13","13",6,4,6,5,1,1,"2","4","14","14",4,4,3,3,1,1,"2","3","12","12",5,0,5,4,1,1,"1","1","12","12",6,4,6,5,1,1,"2","3","12","12",6,3,6,4
"30",1,1,"2","2","15","15",0,0,0,0,1,1,"2","3","15","15",7,0,3,3,1,1,"2","4","14","14",4,4,3,3,1,1,"2","5","15","15",7,0,4,3,1,1,"2","3","15","15",7,0,3,3,1,1,"2","3","12","12",6,3,6,4
